Designator,Mid X,Mid Y,Rotation,Layer
BT1,135.82,-82.029959,0.0,top
C1,131.745,-78.685,180.0,bottom
C10,132.425,-77.5,0.0,bottom
C11,135.45,-77.425,180.0,bottom
C12,139.955,-73.22,180.0,bottom
C13,141.76,-74.14,270.0,bottom
C14,126.505,-87.745,180.0,bottom
C15,146.9,-77.025,270.0,bottom
C16,147.29,-84.18,90.0,bottom
C17,143.915,-86.255,180.0,bottom
C18,145.85,-85.64,90.0,bottom
C19,138.035,-88.15,180.0,bottom
C2,130.37,-80.14,180.0,bottom
C20,137.71,-90.93,180.0,bottom
C3,132.14,-85.3,180.0,bottom
C4,140.619411,-78.285589,315.0,bottom
C5,135.89,-86.88,270.0,bottom
C6,135.44,-88.25,180.0,bottom
C7,131.67,-82.67,90.0,bottom
C8,134.04,-88.675,90.0,bottom
C9,134.025,-86.675,90.0,bottom
J1,135.81,-68.99,90.0,top
L1,143.215,-77.5525,270.0,bottom
L2,137.535,-89.54,270.0,bottom
L3,135.745,-95.745,0.0,bottom
L4,138.675,-91.86,180.0,bottom
L5,137.705,-92.8,0.0,bottom
LED1,143.89,-84.085,90.0,bottom
R1,142.9525,-80.345,180.0,bottom
R2,142.8225,-81.81,0.0,bottom
R3,141.45,-84.0225,90.0,bottom
R4,145.08,-77.4075,90.0,bottom
U1,136.55,-81.865,180.0,bottom
U2,133.105,-75.605,180.0,bottom
U3,139.485,-75.75,0.0,bottom
U6,126.22,-82.029959,90.0,bottom
UU4,147.015,-80.76,90.0,bottom
X1,131.33,-88.42,0.0,bottom
